"Comment","Designator","Footprint","LCSC Part #"
"100nF","C101,C201,C202,C204,C206,C208,C210,C214,C215,C804,C805,C808","C_0805_2012Metric","C28233"
"10u","C802,C803","C_1206_3216Metric","C13585"
"22u","C806,C807","C_1206_3216Metric","C12891"
"100u / 25V","C104,C213","CP_EIA-7343-43_Kemet-X","C132558"
"2k2","R201,R403","R_0805_2012Metric","C17520"
"5k1","R401,R402","R_0805_2012Metric","C27834"
"SA818V","U101","DRA818","C3001504"
"TLV73333PQDBVRQ1","U203","SOT-23-5","C2862550"
"USBLC6-2SC6","U204","SOT-23-6","C2827654"
